name,description,parents,Aroused,Creative,Energetic,Euphoric,Focused,Giggly,Happy,Hungry,Relaxed,Sleepy,Talkative,Tingly,Uplifted,Apple,Apricot,Berry,Blue Cheese,Blueberry,Butter,Cheese,Chemical,Chestnut,Citrus,Coffee,Diesel,Earthy,Flowery,Grape,Grapefruit,Honey,Lavender,Lemon,Lime,Mango,Menthol,Mint,Nutty,Orange,Peach,Pear,Pepper,Pine,Pineapple,Plum,Pungent,Rose,Sage,Skunk,Spicy/Herbal,Strawberry,Sweet,Tar,Tea,Tobacco,Tree,Fruit,Tropical,Vanilla,Violet,Woody,Inflammation,Nausea,Pain,Depression,Insomnia,Lack of Appetite,Cramps,Seizures,Muscle Spasms,Headaches,Fatigue,Eye Pressure,Spasticity,Paranoid,Anxious,Dry Eyes,Dry Mouth,Headache,Stress,avg rating,num ratings,id,p0,p1,p2,p3,p4,p5,p6
Alien Walker,"Alien Walker, a cross between Albert Walker and Tahoe Alien, was the Hybrid winner of the 2013 Seattle High Times Cannabis Cup. Bred by Alien Genetics, Alien Walker is a fast-growing plant with a short vegetative cycle, but produces large yields of frost-covered buds as hairy as fictitious space bears. Pungent fruity notes of tangerine and lemon introduce Alien Walker’s strong cerebrally-focused effects that promote relaxation and stress relief. The full-body sedation to follow makes this strain a viable option for treatment of pain and insomnia as well. ","hybrid:albert-walker,hybrid:tahoe-alien,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.48,74.97,100.0,3.34,0.0,4.59493670886076,131.0,hybrid:alien-walker,hybrid:albert-walker,hybrid:tahoe-alien,,,,,
Ingrid,"Ingrid is a lesser-known indica, but it’s growing in popularity as consumers begin to discover this gem of a strain. This plant can be grown indoors or out, but produces higher yield indoors with flowers appearing around 5 to 7 weeks. The buds are dense, tightly bound flowers with very little loose greenery. Perhaps most striking are the flowers’ nearly neon green color. The neon buds emit a skunky aroma and induce a typical indica-strong body effect.","hybrid:uk-cheese,indica:hash-plant,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.26,48.87,15.08,73.76,0.0,0.0,4.34375,107.0,indica:ingrid,hybrid:uk-cheese,indica:hash-plant,,,,,
Qrazy Train,"Qrazy Train is a TGA Genetics creation whose crazy name refers to the complex genetics in this Trainwreck, Trinity, Purple Urkle and Space Queen mix. Its diversity comes out in the strain’s unique flavor that includes spice and fruit notes. These flowers usually have deep amber-toned hairs and some purple coloration. A true hybrid, this train will have you feeling mellow and alert. ","hybrid:trainwreck,sativa:trinity,indica:purple-urkle,hybrid:space-queen,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.71,0.0,100.0,90.0,12.2,0.0,4.32075471698113,139.0,hybrid:qrazy-train,hybrid:trainwreck,sativa:trinity,indica:purple-urkle,hybrid:space-queen,,,
Kilimanjaro,"Kilimanjaro is a pure sativa landrace from the mountain slopes of Tanzania, where it was originally cultivated for use in hunting and religious practice by the native population. Tribes commonly referred to this strain as the “elephant stomper” and utilized it for its energetic, hyper effects. Its aroma carries notes of lemony citrus and fruit, and Kilimanjaro’s tall growth makes it ideal for outdoor or greenhouse gardens.","sativa:african,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.24,5.24,10.48,100.0,0.0,0.0,4.50420168067227,110.0,sativa:kilimanjaro,sativa:african,,,,,,
Ogre,"There are several cannabis strains out there with the moniker of “Ogre.” The best known and most sought after is a sativa/Skunk-leaning phenotype of the multiple award-winning indica Sensi Star. While most phenotypes of Sensi Star are fairly compact indica plants, the Ogre is named for its much larger size and huge yields. Giant, frosty colas produce very high levels of THC and a pungent lemon-skunk aroma.","indica:sensi-star,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.92,7.1,32.24,100.0,0.0,0.0,4.14432989690722,234.0,hybrid:ogre,indica:sensi-star,,,,,,
Pitbull,"Pitbull was bred in the early 2000s by U.S. seed company Stoney Girl Gardens as a cross between P-91 and their own award-winning Sugar Plum. This mostly indica strain has an extremely quick flowering time at 6-7 weeks. Just like the dog breed it’s named after, this plant is tenacious, making it a versatile grower indoors or out that produces high yields. Buds will be light green and fragrant, smelling of tropical fruit with earthy, skunky notes. Pitbull’s taste is also fruity and its indica buzz hits fast and hard.","hybrid:p-91,sativa:sugar-plum,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,3.86,53.86,100.0,0.0,0.0,4.29813664596273,138.0,indica:pitbull,hybrid:p-91,sativa:sugar-plum,,,,,
Timewreck,"Bred by TGA Genetics, Timewreck is a 70% sativa cross between Vortex and Blood Wreck (Trainwreck x Trinity). The sour, fruity flavors of Vortex enliven Timewreck’s subtle earthy aromas with pungent notes of lemon, lime, sandalwood, and pear. Timewreck’s High Times Cup-winning THC content delivers potent relief to severe medical symptoms, but novice consumers should be wary of this sativa’s intensity. In large doses, Timewreck induces a disorienting euphoria that begins to justify this strain’s name, but smaller amounts are more likely to bring on engaged creativity and energy. Timewreck typically produces moderate indoor yields following its 60 to 70 day flowering time.","sativa:vortex,sativa:timewreck,sativa:trinity,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.6,14.4,100.0,2.59,0.0,4.45588235294118,109.0,sativa:timewreck,sativa:vortex,sativa:timewreck,sativa:trinity,,,,
Church OG,"Church OG is an indica marijuana strain that provides strong body sensations that may evolve to a lasting cerebral effect. Its buds are known to be mold resistant, and the strain is grown in various mountain regions. Church OG is known for its dark green leaves with orange hairs and purple hues throughout. With a lineage of God's Gift and OG Kush, this strain has a THC level of up to 19% and a CBD level of up to 0.23%.","hybrid:og-kush,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.52,8.76,66.72,100.0,0.0,0.0,4.11818181818182,111.0,indica:church-og,hybrid:og-kush,,,,,,
Sour Jack,"Sour Jack, one-half Sour Diesel one-half and Jack Herer, takes its name from its parents. It has developed a solid reputation and is highlighted by an intense aroma and profound cerebral effects. After combining the two sativa-dominant strains, we are left with an amazing combination of tropical, sweet flavors that mix with pungent tones of citrus and diesel. The uplifting effects can provide a spark of energy and minimize body fatigue. Sour Jack is a great strain to fight off depression and to help you stay active.","sativa:sour-diesel,sativa:jack-herer,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.61,28.03,41.39,100.0,0.0,0.0,4.475,160.0,sativa:sour-jack,sativa:sour-diesel,sativa:jack-herer,,,,,
Afgooey,"Afgooey, also known as Afgoo, is a potent indica strain that is believed to descend from an Afghani indica and Maui Haze. Its sativa parent may lend Afgoo some uplifting, creative qualities, but this strain undoubtedly takes after its indica parent as it primarily delivers relaxing, sleepy effects alongside its earthy pine flavor. Growers hoping to cultivate Afgoo may have a better chance of success indoors, but this indica can also thrive in Mediterranean climates outdoors.","indica:afghani,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,0.0,11.46,100.0,1.22,0.0,4.21084337349398,347.0,indica:afghooey,indica:afghani,,,,,,
